job_title,company_name,salary,level,city,skills,description,crawled_at,method
Software Engineer,FPT Software,1000-2000,mid,Hanoi,"Java, Python, JavaScript",Develop software applications,2026-02-05 19:01:33,Playwright + Groq Llama 3.1 70B
Data Scientist,VNG Corporation,1500-3000,senior,Ho Chi Minh,"Python, R, Machine Learning",Analyze data and build models,2026-02-05 19:01:33,Playwright + Groq Llama 3.1 70B
DevOps Engineer,Shopee,1200-2500,mid,Hanoi,"AWS, Docker, Kubernetes",Ensure smooth operation of systems,2026-02-05 19:01:33,Playwright + Groq Llama 3.1 70B
Product Manager,Tiki,2000-4000,senior,Ho Chi Minh,"Product Development, Marketing",Develop and launch new products,2026-02-05 19:01:33,Playwright + Groq Llama 3.1 70B
UX Designer,Grab,1000-2000,junior,Hanoi,"User Experience, UI Design",Create user-friendly interfaces,2026-02-05 19:01:33,Playwright + Groq Llama 3.1 70B
Backend Developer,Viettel,1500-3000,mid,Hanoi,"Java, Python, Node.js",Develop server-side applications,2026-02-05 19:01:33,Playwright + Groq Llama 3.1 70B
Frontend Developer,Sendo,1200-2500,mid,Ho Chi Minh,"JavaScript, React, Angular",Develop client-side applications,2026-02-05 19:01:33,Playwright + Groq Llama 3.1 70B
Fullstack Developer,Lazada,2000-4000,senior,Hanoi,"JavaScript, Python, Ruby",Develop both server-side and client-side applications,2026-02-05 19:01:33,Playwright + Groq Llama 3.1 70B
Cyber Security Engineer,FPT IS,1800-3500,senior,Ho Chi Minh,"Network Security, Cryptography",Protect computer systems and networks,2026-02-05 19:01:33,Playwright + Groq Llama 3.1 70B
Artificial Intelligence Engineer,VinGroup,2500-5000,senior,Hanoi,"Machine Learning, Deep Learning",Develop intelligent systems,2026-02-05 19:01:33,Playwright + Groq Llama 3.1 70B
Cloud Engineer,Amazon,2000-4000,mid,Ho Chi Minh,"AWS, Azure, Google Cloud",Design and deploy cloud systems,2026-02-05 19:01:33,Playwright + Groq Llama 3.1 70B
Database Administrator,Microsoft,1500-3000,mid,Hanoi,"MySQL, MongoDB, SQL Server",Manage and maintain databases,2026-02-05 19:01:33,Playwright + Groq Llama 3.1 70B
Network Engineer,Cisco,1800-3500,senior,Ho Chi Minh,"Network Architecture, Routing",Design and implement computer networks,2026-02-05 19:01:33,Playwright + Groq Llama 3.1 70B
IT Project Manager,IBM,2500-5000,senior,Hanoi,"Project Management, Agile",Oversee IT projects,2026-02-05 19:01:33,Playwright + Groq Llama 3.1 70B
Business Analyst,Accenture,1500-3000,mid,Ho Chi Minh,"Business Intelligence, Data Analysis",Analyze business needs and develop solutions,2026-02-05 19:01:33,Playwright + Groq Llama 3.1 70B
Technical Writer,Google,1000-2000,junior,Hanoi,"Technical Writing, Documentation",Create user manuals and guides,2026-02-05 19:01:33,Playwright + Groq Llama 3.1 70B
Quality Assurance Engineer,Samsung,1200-2500,mid,Ho Chi Minh,"Testing, Quality Assurance",Ensure software quality,2026-02-05 19:01:33,Playwright + Groq Llama 3.1 70B
DevOps Engineer,Palantir,2000-4000,senior,Hanoi,"AWS, Docker, Kubernetes",Ensure smooth operation of systems,2026-02-05 19:01:33,Playwright + Groq Llama 3.1 70B
Data Analyst,Facebook,1500-3000,mid,Ho Chi Minh,"Data Analysis, Statistics",Analyze data and build reports,2026-02-05 19:01:33,Playwright + Groq Llama 3.1 70B
Software Architect,Apple,2500-5000,senior,Hanoi,"Software Design, Architecture",Design software systems,2026-02-05 19:01:33,Playwright + Groq Llama 3.1 70B
IT Consultant,Deloitte,2000-4000,senior,Ho Chi Minh,"IT Consulting, Strategy",Provide IT consulting services,2026-02-05 19:01:33,Playwright + Groq Llama 3.1 70B
