skill,count,percentage
english,292,25.591586327782643
python,215,18.843120070113937
java,213,18.66783523225241
sql,178,15.600350569675722
javascript,156,13.672217353198949
reactjs,136,11.919368974583698
aws,122,10.692375109553023
agile,118,10.341805433829974
ai,112,9.815950920245399
nodejs,108,9.465381244522348
typescript,101,8.851884312007012
qa qc,95,8.326029798422436
tester,89,7.800175284837861
api,87,7.624890446976336
cloud,87,7.624890446976336
business analysis,83,7.274320771253287
c#,81,7.099035933391762
database,78,6.8361086765994745
devops,78,6.8361086765994745
automation test,77,6.748466257668712
postgresql,67,5.872042068361086
golang,67,5.872042068361086
mysql,65,5.696757230499562
project management,64,5.6091148115688
ci/cd,64,5.6091148115688
.net,62,5.433829973707274
microservices,58,5.083260297984225
machine learning,55,4.820333041191937
scrum,50,4.382120946538125
team management,50,4.382120946538125
spring boot,49,4.294478527607362
spring,47,4.1191936897458366
php,44,3.856266432953549
azure,43,3.7686240140227865
c++,40,3.5056967572304996
docker,40,3.5056967572304996
ui-ux,39,3.4180543382997373
linux,39,3.4180543382997373
mobile apps,38,3.3304119193689745
leadership,37,3.2427695004382118
oracle,36,3.1551270815074495
software architecture,36,3.1551270815074495
nextjs,35,3.067484662576687
data analysis,34,2.9798422436459244
jira,33,2.892199824715162
oop,33,2.892199824715162
japanese,32,2.8045574057844
android,32,2.8045574057844
react native,32,2.8045574057844
kotlin,30,2.6292725679228743
